"rank","title","description","runtime","genre","rating","votes","metascore","directors","actors","gross_earning_in_mil_doll","certificate_rating"
1,"Mary Queen of Scots","Mary Stuart's attempt to overthrow her cousin Elizabeth I, Queen of England, finds her condemned to years of imprisonment before facing execution.",124,"Biography, Drama, History",6.3,27580,60,"Josie Rourke","Saoirse Ronan",16.47,"A"
2,"Aquaman","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",143,"Action, Adventure, Fantasy",7,296628,55,"James Wan","Jason Momoa",335.06,"U/A"
3,"Nomis","A weathered Lieutenant, his police force, and a local vigilante are all caught up in a dangerous scheme involving a recently arrested, troubled man who's linked to years of female abductions and murders.",98,"Action, Thriller",5.7,4294,31,"David Raymond","Henry Cavill",NA,"R"
4,"A Simple Favor","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",117,"Comedy, Crime, Drama",6.8,95789,67,"Paul Feig","Anna Kendrick",53.55,"R"
5,"Spider-Man: Into the Spider-Verse","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",117,"Animation, Action, Adventure",8.4,258181,87,"Bob Persichetti","Shameik Moore",190.24,"U"
6,"Fantastic Beasts: The Crimes of Grindelwald","The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",134,"Adventure, Family, Fantasy",6.6,178556,52,"David Yates","Eddie Redmayne",159.56,"U/A"
7,"Freaks","A bold girl discovers a bizarre, threatening, and mysterious new world beyond her front door after she escapes her father's protective and paranoid control.",105,"Drama, Sci-Fi, Thriller",6.9,895,63,"Zach Lipovsky","Emile Hirsch",NA,"R"
8,"Bohemian Rhapsody","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",134,"Biography, Drama, Music",8,378460,49,"Queen","Rami Malek",216.43,"U/A"
9,"Avengers: Infinity War","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",149,"Action, Adventure, Sci-Fi",8.5,707711,68,"Anthony Russo","Robert Downey Jr.",678.82,"U/A"
10,"Bad Times at the El Royale","Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",141,"Crime, Drama, Mystery",7.1,101053,60,"Drew Goddard","Jeff Bridges",17.84,"R"
11,"Deadpool 2","Foul-mouthed mutant mercenary Wade Wilson (AKA. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg, Cable.",119,"Action, Adventure, Comedy",7.7,414514,66,"David Leitch","Ryan Reynolds",324.59,"R"
12,"Mission: Impossible - Fallout","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",147,"Action, Adventure, Thriller",7.8,247044,86,"Christopher McQuarrie","Tom Cruise",220.16,"U/A"
13,"The Favourite","In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.",119,"Biography, Drama, History",7.6,130170,90,"Yorgos Lanthimos","Olivia Colman",34.24,"R"
14,"Hereditary","After the family matriarch passes away, a grieving family is haunted by tragic and disturbing occurrences, and begin to unravel dark secrets.",127,"Drama, Horror, Mystery",7.3,170766,87,"Ari Aster","Toni Collette",44.07,"A"
15,"The Mule","A 90-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.",116,"Crime, Drama, Thriller",7,73537,58,"Clint Eastwood","Clint Eastwood",103.8,"A"
